Operateur;X;Y;2G;3G;4G
20815;136950;2410360;0;1;1
20810;137246;2346050;1;1;1
20820;137250;2346060;1;1;1
20801;137680;2329800;1;1;0
20815;137707;2340912;0;1;1
20801;137714;2340915;1;1;0
20810;137721;2340919;1;1;1
20820;137725;2340925;1;1;1
20810;138124;2330430;1;1;1
20820;138124;2330430;1;1;1
20801;138194;2335408;1;1;1
20820;139038;2335598;1;1;1
20815;139 038;2 335 598;0;1;1
20810;139041;2335608;1;1;1
20801;139411;2348192;0;1;1
20810;139420;2348200;1;1;1
20820;139420;2348200;1;1;1
20801;139450;2397610;1;1;0
20810;139461;2397637;1;1;1
20820;139461;2397637;1;1;1
20815;139461;2397637;0;1;1
20801;139688;2346110;0;1;1
20810;139848;2425105;1;1;1
20801;139851;2425101;1;1;0
20820;139854;2425101;1;1;1
20801;140620;2419918;1;1;0
20820;140633;2419922;1;1;0
20810;140643;2419909;1;1;0
20810;140876;2408301;1;1;1
20801;140876;2408308;1;1;1
20820;140885;2408311;1;1;1
20820;141040;2412915;1;1;0
20801;141044;2412917;1;1;0
20815;141092;2408325;0;1;1
20801;141260;2358965;1;1;0
20815;141293;2358972;0;1;1
20810;141303;2358980;1;1;1
20801;141315;2331697;1;1;0
20820;141340;2358990;1;1;1
20810;141650;2339400;1;1;1
20820;141651;2339393;1;1;1
20815;141651;2339393;0;1;1
20801;142410;2372450;1;1;1
20810;142753;2420458;1;1;0
20820;142753;2420458;1;0;0
20801;142753;2420458;1;1;0
20820;142875;2373675;1;1;1
20810;142893;2373671;1;1;1
20810;143132;2378756;1;1;1
20820;143148;2378745;1;1;1
20801;143280;2414308;1;1;1
20801;143373;2416185;1;1;0
20820;143590;2415150;1;1;1
20810;143657;2413836;1;1;1
20815;143667;2413825;0;1;1
20801;143948;2329418;1;1;1
20815;143949;2346959;0;1;1
20820;143950;2329420;1;1;1
20810;143954;2329412;1;1;1
20820;143960;2346970;1;1;1
20810;143975;2346965;1;1;1
20810;143990;2371682;1;1;1
20820;143990;2371682;1;1;1
20815;143990;2371682;0;1;1
20801;144585;2338000;1;1;0
20810;145163;2415630;1;1;0
20820;145165;2414605;1;0;1
20820;145166;2415630;1;1;0
20801;145184;2414636;1;1;0
20801;145224;2335345;1;1;0
20810;145230;2335340;1;1;1
20820;145233;2335335;1;1;1
20815;145233;2335335;0;1;1
20801;145550;2415680;1;1;0
20815;145565;2415721;0;1;1
20810;145623;2414570;1;1;0
20820;145771;2417163;1;0;0
20815;145809;2413595;0;1;1
20810;146056;2403219;1;1;0
20810;146428;2416886;1;1;0
20820;146430;2416880;1;1;1
20801;146430;2416880;1;1;1
20801;146490;2413800;1;1;1
20820;147187;2333913;1;1;0
20810;147810;2408356;1;1;0
20810;147840;2338324;1;1;1
20820;147840;2338324;1;1;1
20801;148000;2375553;1;1;0
20810;148264;2416013;1;1;0
20810;148310;2428479;1;1;0
20820;148310;2428470;1;1;0
20801;148318;2428480;1;1;0
20801;148358;2410440;1;1;0
20820;148376;2410358;1;1;1
20801;148900;2336390;1;1;0
20801;148935;2416090;1;1;0
20810;149142;2412037;1;1;0
20801;149192;2333487;1;1;1
